IP,延迟(ms),丢包率(%),速度(Mbps)
172.65.92.251,13.28,0.00,37.33
198.41.197.254,15.27,0.00,35.93
141.101.90.251,14.01,0.00,35.29
104.25.101.26,13.07,0.00,35.29
104.18.197.97,13.49,0.00,34.78
162.159.251.161,15.31,0.00,34.49
104.17.150.243,16.77,0.00,33.60
198.41.192.145,13.39,0.00,33.51
188.114.96.218,14.21,0.00,33.41
162.159.56.129,10.49,0.00,33.34
198.41.203.49,16.48,0.00,32.90
162.159.34.229,12.66,0.00,38.15
198.41.223.84,11.78,0.00,32.82
104.27.194.233,12.12,0.00,33.03
104.18.210.68,14.39,0.00,32.98
104.25.79.54,14.39,0.00,32.25
104.16.55.27,12.23,0.00,35.35
172.65.250.141,14.04,0.00,31.74
104.17.12.226,12.87,0.00,34.95
104.17.77.104,13.22,0.00,0.00
188.114.96.31,10.86,0.00,31.46
104.21.214.152,11.80,0.00,30.84
172.67.205.215,14.23,0.00,30.97
104.27.71.45,14.36,0.00,0.00
198.41.199.228,12.09,0.00,30.60
104.19.2.32,12.14,0.00,30.38
104.21.48.15,14.64,0.00,0.00
104.21.105.112,11.12,0.00,0.00
104.18.166.8,13.37,0.00,0.00
104.21.196.35,15.22,0.00,0.00
190.93.245.72,13.41,0.00,32.91
104.27.26.60,13.31,0.00,0.00
108.162.192.226,14.04,0.00,0.00
104.19.29.178,15.85,0.00,29.09
172.65.238.89,14.14,0.00,29.62
108.162.198.218,13.88,0.00,32.08
104.19.230.211,14.24,0.00,0.00
104.27.23.137,10.92,0.00,29.37
104.17.237.207,12.11,0.00,0.00
141.101.122.92,14.13,0.00,0.00
172.65.195.188,14.29,0.00,28.71
198.41.197.247,14.16,0.00,0.00
104.24.185.112,14.12,0.00,0.00
104.18.218.226,13.95,0.00,28.17
173.245.58.85,13.11,0.00,32.00
172.65.8.156,13.39,0.00,0.00
162.159.255.33,10.88,0.00,27.43
172.67.172.50,13.68,0.00,27.32
104.16.184.219,11.94,0.00,0.00
104.21.0.92,14.52,0.00,0.00
104.25.106.143,12.67,0.00,0.00
162.159.129.55,13.04,0.00,29.79
104.24.226.226,12.93,0.00,0.00
104.24.46.198,13.33,0.00,0.00
141.101.114.36,14.97,0.00,27.56
