IP,延迟(ms),丢包率(%),速度(Mbps)
104.17.42.237,16.33,0.00,45.24
190.93.246.120,16.85,0.00,43.57
104.17.114.136,16.25,0.00,42.31
104.17.70.215,16.49,0.00,41.47
104.18.95.215,16.47,0.00,41.13
190.93.244.1,16.46,0.00,41.08
104.17.177.103,16.47,0.00,41.02
190.93.247.28,16.37,0.00,40.91
190.93.245.225,16.29,0.00,40.35
141.101.114.112,16.57,0.00,40.24
104.18.165.213,16.23,0.00,39.96
108.162.198.206,16.61,0.00,39.68
162.159.10.135,13.36,0.00,39.21
104.16.161.85,16.15,0.00,39.03
104.18.221.93,16.12,0.00,38.82
